Fire_ID,DTS_dist_m,DTS_cells,DTS_cells_prp
OR4457711806919860802,240,298,0.047581031454574485
OR4457711806919860802,270,165,0.026345201979881844
OR4457711806919860802,300,84,0.013412102826121666
OR4457711806919860802,330,49,0.007823726648570973
OR4457711806919860802,360,33,0.005269040395976369
OR4457711806919860802,390,23,0.0036723614881047422
OR4457711806919860802,420,18,0.0028740220341689285
OR4457711806919860802,450,14,0.002235350471020278
OR4457711806919860802,480,8,0.0012773431262973016
OR4457711806919860802,510,4,6.386715631486508e-4
OR4457711806919860802,540,1,1.596678907871627e-4
OR4495911830019860803,0,10824,1
OR4495911830019860803,30,8312,0.7679231337767923
OR4495911830019860803,60,6169,0.5699371766444937
OR4495911830019860803,90,4130,0.3815594974131559
OR4495911830019860803,120,2893,0.26727642276422764
OR4495911830019860803,150,1804,0.16666666666666666
OR4495911830019860803,180,1185,0.1094789356984479
OR4495911830019860803,210,724,0.06688839615668885
OR4495911830019860803,240,381,0.03519955654101996
OR4495911830019860803,270,214,0.01977087952697709
OR4495911830019860803,300,106,0.009793052475979305
OR4495911830019860803,330,53,0.004896526237989652
OR4495911830019860803,360,23,0.0021249076127124907
OR4495911830019860803,390,1,9.238728750923873e-5
OR4301612221819860803,0,234,1
OR4301612221819860803,30,115,0.49145299145299143
OR4301612221819860803,60,46,0.19658119658119658
OR4301612221819860803,90,5,0.021367521367521368
ID4610711507519860810,0,18,1
ID4610711507519860810,30,6,0.3333333333333333
ID4610711507519860810,60,0,0
ID4608011507219860810,0,148,1
ID4608011507219860810,30,50,0.33783783783783783
ID4608011507219860810,60,11,0.07432432432432433
ID4608011507219860810,90,1,0.006756756756756757
ID4413811587319860810,0,3434,1
ID4413811587319860810,30,2002,0.5829935934769948
ID4413811587319860810,60,1132,0.3296447291788002
ID4413811587319860810,90,615,0.17909143855562026
ID4413811587319860810,120,321,0.09347699475829936
ID4413811587319860810,150,139,0.04047757716948165
ID4413811587319860810,180,59,0.01718112987769365
ID4413811587319860810,210,22,0.0064065230052417
ID4413811587319860810,240,1,2.9120559114735004e-4
OR4480811872419860810,0,1461,1
OR4480811872419860810,30,963,0.6591375770020534
OR4480811872419860810,60,616,0.4216290212183436
OR4480811872419860810,90,353,0.24161533196440793
OR4480811872419860810,120,226,0.15468856947296372
OR4480811872419860810,150,113,0.07734428473648186
OR4480811872419860810,180,72,0.049281314168377825
OR4480811872419860810,210,42,0.028747433264887063
OR4480811872419860810,240,15,0.01026694045174538
OR4480811872419860810,270,3,0.002053388090349076
ID4594911650919860810,0,158,1
ID4594911650919860810,30,51,0.3227848101265823
ID4594911650919860810,60,10,0.06329113924050633
ID4594911650919860810,90,0,0
ID4608611503819860811,0,9,1
ID4608611503819860811,30,1,0.1111111111111111
ID4443611536119860811,0,1133,1
ID4443611536119860811,30,864,0.7625772285966461
ID4443611536119860811,60,627,0.5533980582524272
ID4443611536119860811,90,402,0.35481023830538394
ID4443611536119860811,120,257,0.22683142100617829
ID4443611536119860811,150,148,0.13062665489849956
